Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
68,100,28,161,103,111,14,6,1117,80,790207.0,9.62,959.0,63.73,50.08,76.85,1811.0,1074
97,23,16,60,13,16,18,6,657,63,530299.0,8.51,994.0,64.51,53.71,75.33,2535.0,432
52,75,37,137,33,25,10,9,696,50,725673.0,7.05,964.0,61.23,50.26,71.8,4291.0,895
191,138,68,355,99,76,54,20,1634,144,1936319.0,11.66,929.0,65.5,53.87,76.27,4393.0,2575
83,155,60,380,54,67,19,6,392,58,949159.0,44.13,921.0,73.92,63.49,83.51,1341.0,1534
179,225,81,663,143,64,28,18,1344,131,2912022.0,43.18,950.0,77.13,68.2,85.63,5097.0,2552
90,74,15,68,22,19,21,10,450,69,599813.0,7.16,1000.0,67.59,59.38,75.84,3774.0,468
91,66,25,304,96,154,2,6,785,126,1890826.0,31.67,984.0,69.39,58.55,80.16,6552.0,2169
148,107,52,418,80,209,5,5,803,130,1700018.0,24.9,952.0,71.01,61.66,79.94,5448.0,4388
83,108,27,361,106,150,3,6,1203,121,1254377.0,22.26,968.0,70.08,61.55,78.36,4244.0,2459
85,72,31,394,79,340,0,6,1087,151,1660378.0,19.78,969.0,73.82,66.05,81.37,8436.0,4024
60,121,10,214,99,107,14,7,487,114,2083625.0,47.6,1018.0,88.62,84.04,93.31,4861.0,2155
110,120,60,661,130,309,1,7,878,131,1946905.0,32.31,967.0,76.3,69.39,83.02,5924.0,3697
49,69,8,120,30,50,0,7,427,84,1846993.0,56.83,967.0,80.3,73.57,86.83,4260.0,1256
31,45,11,153,53,55,0,6,439,84,1065235.0,35.65,978.0,75.18,65.29,84.89,4657.0,1127
161,189,57,569,123,365,0,8,1971,208,1776221.0,21.23,1005.0,75.89,68.3,83.55,6814.0,5301
78,120,17,354,37,151,0,7,840,110,1598506.0,22.27,951.0,77.6,70.65,84.22,4823.0,2275
67,75,36,237,92,106,0,3,286,42,554762.0,14.62,1019.0,82.52,77.91,87.24,4102.0,1869
105,96,18,289,91,96,0,6,1506,145,1540231.0,31.38,976.0,74.33,66.56,81.94,3979.0,2248
38,84,31,263,112,88,0,4,676,81,1391292.0,16.79,983.0,67.28,56.22,78.21,5570.0,1935
111,110,69,700,97,444,0,8,1355,145,1808680.0,17.08,989.0,70.14,62.1,78.14,4962.0,5049
132,167,37,288,138,341,3,5,946,125,1924773.0,25.32,992.0,60.46,49.56,71.35,8442.0,3225
102,174,54,710,244,647,0,7,1468,170,1755512.0,35.5,995.0,80.5,74.89,86.11,8478.0,6151
47,84,19,264,145,172,19,5,308,79,1177908.0,28.36,1093.0,86.29,81.41,91.69,3582.0,2533
47,76,32,249,119,216,2,5,442,86,1436847.0,29.14,975.0,84.03,78.21,89.72,10277.0,2824
82,215,10,327,218,360,1,8,69,61,1107453.0,4.7,1006.0,92.2,89.59,94.84,4356.0,5389
